Color,Gold,Creep Score,Wards,Baron Kills,Dragon Kills,Won
Red,47.384,451,49,0,0,1
Blue,37.158,345,37,0,2,0
Red,43.43,372,32,0,1,1
Blue,41.563,461,39,0,0,0
Red,60.738,569,40,0,3,1
Blue,52.701,562,42,0,0,0
Red,83.892,800,61,2,4,1
Blue,66.516,696,80,0,0,0
Red,33.1,407,56,0,1,0
Blue,47.935,502,48,0,1,1
Red,59.511,602,45,0,1,1
Blue,49.826,507,41,0,1,0
Red,77.469,796,66,2,2,1
Blue,76.479,773,57,0,2,0
Red,29.92,333,19,0,1,0
Blue,23.783,248,15,0,0,1
Red,52.712,564,52,1,2,1
Blue,45.003,534,49,0,1,0
Red,53.333,471,48,0,1,1
Blue,51.248,464,48,0,0,0
Red,32.849,394,39,0,0,0
Blue,34.299,368,37,0,1,1
Red,84.995,769,63,1,5,0
Blue,64.316,656,51,1,0,1
Red,43.649,490,47,0,1,0
Blue,51.32,488,44,0,1,1
Red,63.499,539,58,0,1,0
Blue,70.641,520,56,1,2,1
Red,25.131,307,27,0,0,0
Blue,41.832,373,24,0,2,1
Red,39.58,425,36,0,2,1
Blue,33.081,422,36,0,0,0
Red,0.0,0,0,0,0,-1
Blue,0.0,0,0,0,0,-1
Red,50.451,566,50,0,0,0
Blue,61.686,530,52,0,3,1
Red,70.242,590,48,0,1,0
Blue,75.586,550,30,2,1,1
Red,46.473,485,17,0,1,1
Blue,34.419,350,40,0,0,0
Red,42.422,531,53,0,0,0
Blue,63.38,536,45,1,2,1
Red,87.862,617,60,1,1,1
Blue,86.212,658,72,0,1,0
Red,36.414,330,24,0,0,0
Blue,45.918,408,36,0,2,1
Red,59.26,689,55,0,4,0
Blue,50.081,682,42,0,0,1
Red,65.374,643,47,0,0,1
Blue,60.453,667,60,0,3,0
Red,54.328,496,47,0,0,1
Blue,46.165,445,35,0,0,0
Red,35.652,391,20,0,0,1
Blue,20.097,217,14,0,0,0
Red,26.031,227,18,0,0,0
Blue,37.074,349,19,0,0,1
Red,45.615,562,41,0,1,1
Blue,38.897,473,35,0,1,0
Red,58.825,718,35,0,0,0
Blue,70.888,518,60,1,0,1
Red,39.682,307,31,0,1,1
Blue,21.912,179,18,0,0,0
Red,21.405,178,27,0,0,0
Blue,33.495,323,18,0,1,1
Red,18.661,211,16,0,0,0
Blue,23.173,227,20,0,0,1
Red,23.76,333,30,0,0,0
Blue,31.577,380,21,0,1,1
Red,24.49,247,26,0,0,0
Blue,35.305,418,25,0,1,1
Red,46.369,459,47,0,1,0
Blue,61.795,629,41,0,2,1
Red,55.481,509,20,0,0,1
Blue,39.925,341,25,0,0,0
Red,39.454,464,44,0,0,1
Blue,38.602,447,47,0,3,0
Red,65.023,647,53,0,2,1
Blue,58.717,516,59,0,1,0
Red,75.509,697,57,1,3,0
Blue,70.186,859,67,1,0,1
Red,50.49,493,42,1,1,0
Blue,45.817,437,66,0,1,1
Red,38.389,486,31,0,1,1
Blue,35.798,431,38,0,1,0
Red,58.131,567,37,1,0,1
Blue,58.507,511,50,0,2,0
Red,18.081,84,15,0,0,0
Blue,24.788,163,15,0,0,1
Red,50.559,574,61,0,1,0
Blue,66.186,703,78,0,3,1
Red,60.633,698,33,0,0,0
Blue,69.882,646,27,0,3,1
Red,37.973,483,33,0,0,1
Blue,33.053,369,26,0,1,0
Red,52.277,537,43,0,1,1
Blue,52.089,433,29,0,2,0
Red,25.752,214,24,0,0,1
Blue,21.253,266,26,0,0,0
Red,88.142,714,55,1,1,1
Blue,86.338,760,70,1,2,0
Red,35.569,345,31,0,1,1
Blue,26.033,286,25,0,0,0
Red,50.842,417,42,1,0,1
Blue,44.779,362,28,0,0,0
Red,63.037,604,22,0,2,0
Blue,53.507,456,29,0,0,1
Red,28.643,265,16,0,1,0
Blue,36.604,371,25,0,1,1
Red,49.941,577,53,0,2,0
Blue,41.267,435,50,0,0,1
Red,60.364,572,45,0,2,0
Blue,46.243,512,43,0,1,1
Red,52.924,648,37,0,2,1
Blue,43.193,552,41,0,1,0
Red,75.414,763,95,1,4,0
Blue,86.005,740,59,1,1,1
Red,38.143,512,42,0,0,1
Blue,42.759,501,59,0,2,0
Red,31.815,393,19,0,0,0
Blue,29.903,302,16,0,0,1
